Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Lactoria fornasini,Thornback cowfish,Ostraciidae,benthic,genus,64,25,133,0.668,0.42,1.303,0.124,0.062,0.23,18.4,16.1,20.7,30.1,15.6,61.7,57.6,17.8,184.2,1.29,0.84,1.99
Leiognathus equula,Common ponyfish,Leiognathidae,pelagic,species,282,144,578,1.61,0.9,3.07,0.466,0.209,1.024,18.2,16.7,19.8,59,26,151,9.07,2.71,28.86,1.6,1,2.6
Leiuranus semicinctus,Saddled snake-eel,Ophichthidae,benthic,species,64.4,32.3,115.7,0.749,0.459,1.288,0.228,0.093,0.631,18.3,16,20.7,48.3,22.7,104.1,38.1,8.9,154.6,1.53,1.02,2.25
Lepidocybium flavobrunneum,Escolar,Gempylidae,pelagic,species,7.79,3.92,14.56,0.227,0.127,0.413,0.295,0.173,0.525,17.5,15.1,19.6,26.7,12.7,51.4,14.9,4.3,50.3,0.276,0.201,0.389
Lepidozygus tapeinosoma,Fusilier damselfish,Pomacentridae,pelagic,species,96.6,54.6,191.6,0.949,0.593,1.484,0.182,0.111,0.293,18.9,17.9,19.9,26,13,50,191,76,482,1.54,1.07,2.22
Leptoscarus vaigiensis,Marbled parrotfish,Scaridae,benthic,species,51.2,27.8,98.4,0.803,0.474,1.273,0.107,0.064,0.167,18.7,16.6,20.6,38.6,20.5,74,25.3,8,80.6,1.64,1.1,2.55
Lethrinus borbonicus,Snubnose emperor,Lethrinidae,benthic,species,61.3,40.7,101.6,1.15,0.74,1.68,0.135,0.095,0.196,20.4,18.2,22.4,52.3,30.8,89.3,12.1,2.9,69.9,2.31,1.6,3.27
Lethrinus crocineus,Yellowtail emperor,Lethrinidae,pelagic,genus,36.5,25.6,52,0.763,0.546,1.072,0.133,0.1,0.177,20.4,18.1,22.4,49.8,33.6,74.2,23,6,128,1.95,1.41,2.58
Lethrinus enigmaticus,Blackeye emperor,Lethrinidae,benthic,species,34.5,24.1,48.3,0.714,0.498,1.015,0.133,0.1,0.177,20.3,17.9,22.2,45.8,31.1,68.5,30.3,7.4,176.4,2.02,1.47,2.64
Lethrinus erythracanthus,Orange-spotted emperor,Lethrinidae,benthic,species,32,22,45,0.775,0.55,1.082,0.121,0.091,0.162,20.2,17.9,22.2,52.5,35.2,79.4,17.1,4.3,95.4,2.01,1.45,2.65
Lethrinus harak,Thumbprint emperor,Lethrinidae,benthic,species,62.1,33.8,104.6,1.25,0.73,2.19,0.264,0.138,0.511,19.2,16.9,21.3,49.9,20.3,103.4,19.1,4.2,113.6,2.84,1.87,4.11
Lethrinus lentjan,Pink ear emperor,Lethrinidae,benthic,species,69,36,119,1.31,0.73,2.34,0.275,0.14,0.544,19.4,17.1,21.5,52.9,19.5,112.6,17.3,3.7,105.4,2.69,1.74,3.99
Lethrinus mahsena,Sky emperor,Lethrinidae,benthic,species,27.4,18.3,38.6,0.66,0.45,0.97,0.121,0.088,0.167,20.1,17.7,22,46.3,29.3,72.6,28.3,6.6,168,2.05,1.45,2.7
Lethrinus microdon,Smalltooth emperor,Lethrinidae,benthic,species,31.2,21.7,43.5,0.732,0.526,1.022,0.126,0.095,0.168,20.5,18.2,22.4,54.6,37.1,82.5,18,5,102,1.82,1.31,2.43
Lethrinus miniatus,Trumpet emperor,Lethrinidae,pelagic,species,33.6,16.9,61.6,1.06,0.59,2.01,0.271,0.138,0.561,19.2,16.9,21.3,51.7,20.7,111.5,36.2,8.4,232.3,1.96,1.24,3.07
Lethrinus nebulosus,Spangled emperor,Lethrinidae,pelagic,species,38,21,64,0.945,0.56,1.649,0.247,0.132,0.472,19.3,17,21.4,53.5,22.7,107.9,21.2,4.7,133.9,2.36,1.55,3.42
Lethrinus obsoletus,Orange-striped emperor,Lethrinidae,benthic,species,42.2,28.9,62.7,0.855,0.602,1.21,0.134,0.099,0.183,20.5,18.3,22.5,53.7,33.9,83.9,16.9,4.3,97.4,1.95,1.38,2.63
Lethrinus olivaceus,Longface emperor,Lethrinidae,pelagic,species,25.8,15.9,39.3,0.861,0.562,1.286,0.131,0.091,0.189,20.4,18.1,22.4,59.4,34.3,98,21.3,6.2,112.1,1.49,1.04,2.13
Lethrinus rubrioperculatus,Spotcheek emperor,Lethrinidae,benthic,species,47.3,32.6,71.3,0.911,0.638,1.292,0.136,0.101,0.187,20.5,18.2,22.5,51.3,32.6,79.8,17.3,4.4,100,2.08,1.49,2.8
Lethrinus variegatus,Slender emperor,Lethrinidae,benthic,species,78.4,52.2,124.7,1.04,0.73,1.55,0.157,0.11,0.226,20.2,17.9,22.2,38.8,23.5,59.7,35.4,8.4,207.8,2.67,1.9,3.64
Lethrinus xanthochilus,Yellowlip emperor,Lethrinidae,benthic,species,31.8,22.1,44.2,0.716,0.512,1.006,0.128,0.097,0.171,20.4,18.1,22.3,50.7,34.4,75.9,22.6,5.7,126.8,1.89,1.37,2.48
Liopropoma africanum,African basslet,Serranidae,pelagic,genus,157,81,363,0.851,0.479,1.523,0.197,0.112,0.352,18.5,16.5,20.4,26.7,12.9,54.8,162,48,550,1.73,1.09,2.68
Liopropoma susumi,Meteor perch,Serranidae,pelagic,genus,171,88,373,0.787,0.445,1.428,0.135,0.072,0.257,18,16,20,30.4,13.7,65,140,43,499,1.79,1.12,2.84
Lobotes surinamensis,Tripletail,Lobotidae,pelagic,species,65.7,32.6,134.3,1.56,0.79,3.05,0.607,0.275,1.386,18.1,16.9,19.2,36.9,12.1,88.9,8.83,2.12,36.16,0.726,0.435,1.154
Lutjanus argentimaculatus,Mangrove red snapper,Lutjanidae,benthic,species,11.2,4.9,24.5,0.571,0.261,1.317,0.355,0.15,0.865,18.1,16.4,19.6,44.8,14.6,109.8,81.8,11.3,501.7,0.364,0.21,0.73
Lutjanus bengalensis,Bengal snapper,Lutjanidae,pelagic,species,44.2,29.5,63.3,0.375,0.258,0.586,0.155,0.115,0.208,18.7,17.3,20,64.9,45.7,92.8,174,35,506,0.593,0.443,0.98
Lutjanus bohar,Two-spot red snapper,Lutjanidae,pelagic,species,20.9,10.2,39.1,0.276,0.16,0.512,0.275,0.145,0.529,17.6,16.1,19.1,67.9,34,137.4,304,51,"1,162",0.543,0.356,0.923
Lutjanus ehrenbergii,Blackspot snapper,Lutjanidae,pelagic,species,53.3,27.3,103.7,0.633,0.339,1.273,0.326,0.151,0.723,17.5,15.9,19,68.9,26.7,162.5,203,32,"1,076",0.656,0.417,1.195
Lutjanus fulviflamma,Dory snapper,Lutjanidae,benthic,species,59.8,33.3,106.8,0.546,0.31,1.007,0.304,0.155,0.609,17.6,16.1,19.1,71,29,146,135,22,578,0.753,0.501,1.34
Lutjanus fulvus,Blacktail snapper,Lutjanidae,benthic,species,45.6,24.9,80,0.471,0.273,0.844,0.285,0.15,0.56,17.4,15.9,18.8,67.5,31,129.8,165,28,653,0.746,0.508,1.287
Lutjanus gibbus,Humpback red snapper,Lutjanidae,pelagic,species,31.7,20.7,45.2,0.314,0.216,0.49,0.149,0.114,0.196,18.9,17.5,20.2,73.2,52.3,100.1,165,33,451,0.495,0.375,0.809
Lutjanus johnii,John's snapper,Lutjanidae,pelagic,species,22,11,41,0.3,0.2,0.5,0.269,0.144,0.509,17.7,16.2,19.1,74.6,37.2,144.5,218,38,838,0.54,0.36,0.92
Lutjanus kasmira,Common bluestripe snapper,Lutjanidae,benthic,species,31.3,19.8,43.7,0.3,0.2,0.5,0.149,0.115,0.196,18.6,17.2,19.9,64.3,46.2,89,233,46,638,0.54,0.41,0.87
Lutjanus lutjanus,Bigeye snapper,Lutjanidae,pelagic,species,43.5,29.5,63.2,0.369,0.252,0.581,0.159,0.117,0.215,18.9,17.5,20.2,69.8,47.5,101.5,160,32,485,0.546,0.407,0.908
Lutjanus monostigma,One-spot snapper,Lutjanidae,pelagic,species,28.4,13.9,55.1,0.42,0.23,0.77,0.309,0.152,0.64,17.4,15.9,18.9,66.5,29.5,157.9,361,57,"1,655",0.543,0.351,0.96
Lutjanus rivulatus,Blubberlip snapper,Lutjanidae,pelagic,species,22.8,14.3,32.7,0.275,0.189,0.431,0.138,0.105,0.182,18.9,17.5,20.2,82.5,58.4,112.8,136,28,367,0.436,0.33,0.701
Lutjanus russellii,Russell's snapper,Lutjanidae,pelagic,species,33,16,64,0.466,0.258,0.867,0.31,0.15,0.65,17.4,15.8,18.8,65.6,28.7,153.1,321,53,"1,476",0.587,0.377,1.035
Lutjanus sanguineus,Humphead snapper,Lutjanidae,pelagic,species,16.1,9.2,25.3,0.271,0.177,0.443,0.148,0.102,0.213,18.8,17.4,20.1,79.7,48.3,132.9,257,51,825,0.348,0.244,0.569
Lutjanus sebae,Emperor red snapper,Lutjanidae,pelagic,species,16.2,5.9,38.8,0.331,0.163,0.77,0.241,0.108,0.54,17.2,15.5,18.8,69.8,25.6,179.1,200,28,"1,141",0.415,0.23,0.764
Lutjanus vitta,Brownstripe red snapper,Lutjanidae,pelagic,species,40.3,21.3,71,0.39,0.23,0.7,0.302,0.159,0.585,17.4,15.9,18.8,59.8,29.1,118,295,51,"1,136",0.707,0.472,1.201
Luzonichthys waitei,Waite's splitfin,Serranidae,pelagic,species,163,80,350,1.03,0.58,1.87,0.135,0.069,0.261,17.5,15.4,19.6,27.1,12.5,57.2,185,57,668,1.86,1.13,2.98
Macolor niger,Black and white snapper,Lutjanidae,pelagic,species,32.2,18.8,55.9,0.455,0.26,0.724,0.14,0.1,0.21,19.3,17.5,21,45.3,26.2,74.2,65.8,24.3,185.8,0.933,0.606,1.329
Macrodontogobius wilburi,Largetooth goby,Gobiidae,benthic,species,198,83,412,1.22,0.65,2.43,0.317,0.123,0.777,17.1,15.3,18.9,21.7,9.2,52.6,140,31,553,2.83,1.67,4.67
Macropharyngodon bipartitus,Rare wrasse,Labridae,benthic,species,71,36,160,1.17,0.67,2.17,0.246,0.138,0.452,19.3,16.5,21.6,13.5,6.8,28.1,77.1,22,302.6,1.46,0.9,2.75
Makaira mazara,Indo-Pacific blue marlin,Istiophoridae,benthic,species,21,12,41,1.01,0.6,1.59,0.245,0.136,0.436,20,19,21,50.6,25.7,100,5.26,1.76,18.07,0.416,0.286,0.612
Malacanthus brevirostris,Quakerfish,Malacanthidae,benthic,species,61.7,38.9,107.9,0.568,0.357,0.873,0.102,0.066,0.156,18.2,15.8,20.3,37.6,21.7,65.9,74.9,29,182.9,1.35,0.96,1.85
Malacanthus latovittatus,Blue blanquillo,Malacanthidae,benthic,species,45.7,28.4,76.9,0.483,0.293,0.757,0.0964,null,null,18.2,15.8,20.3,39.4,23,69,76.1,29,190,1.23,0.87,1.68
Megalaspis cordyla,Torpedo scad,Carangidae,pelagic,species,132,25,547,2.16,0.59,5.69,0.408,0.146,1.134,19.4,17.7,20.9,74.7,20.9,266.5,21,4,141,0.655,0.174,2.329
Megalops cyprinoides,Indo-Pacific tarpon,Megalopidae,benthic,species,73,41,125,0.724,0.433,1.146,0.434,0.218,0.901,16.4,13.5,19,84,41,170,17.5,6.6,47.9,1.13,0.79,1.63
Melichthys niger,Black triggerfish,Balistidae,benthic,species,24.4,8.9,58.1,0.861,0.475,1.728,0.151,0.07,0.311,19,17,21,18.2,8,41.7,18.7,4.2,81.2,0.89,0.52,1.5
Melichthys vidua,Pinktail triggerfish,Balistidae,benthic,species,47.7,18.7,99.2,0.569,0.352,1.124,0.123,0.063,0.248,18.7,16.6,20.8,34.5,18.3,72.5,49.2,15.1,159.1,1.05,0.69,1.61
Mene maculata,Moonfish,Menidae,benthic,species,39.9,17.4,82.2,0.93,0.46,2.06,0.391,0.169,0.916,18.4,17.1,19.6,12.3,4.7,32.3,78.3,15.2,350.7,1.15,0.64,2.12
Meuschenia freycineti,Six-spined leatherjacket,Monacanthidae,benthic,species,24.3,7.1,61.6,0.313,0.154,0.667,0.361,0.141,0.845,17.7,15.3,20.2,20.5,8.4,51.4,4.31,1.11,17.07,0.571,0.333,1.018
Mobula birostris,Giant manta,Mobulidae,pelagic,species,2.48,0.28,14.92,0.519,0.097,1.892,0.0934,null,null,21.8,19.1,24.5,27.6,6.8,114.4,7.91,1.45,48.71,0.308,0.076,1.195
Monodactylus argenteus,Silver moony,Monodactylidae,benthic,species,180,94,353,1.56,0.86,2.96,0.507,0.236,1.094,17.2,16.1,18.3,34.2,15.9,85.2,19.9,6.1,60.1,1.75,1.14,2.68
Monotaxis grandoculis,Humpnose big-eye bream,Lethrinidae,benthic,species,14.8,7.2,36,0.135,0.079,0.29,0.0669,null,null,19.8,17.9,21.7,75.5,39.4,145.9,49.4,14.8,135.3,0.448,0.324,0.71
Monotaxis heterodon,Redfin emperor,Lethrinidae,benthic,genus,106,34,417,0.2,0.1,0.6,0.125,0.044,0.338,18.4,16.1,20.7,17.2,4.9,62.8,2000,306,"12,868",1.38,0.69,2.93
Moringua microchir,Lesser thrush eel,Moringuidae,benthic,species,61.1,29.1,114,0.634,0.381,1.185,0.24,0.1,0.66,18,16,20,38.3,17.8,84.7,85.2,19.1,360.2,1.66,1.05,2.58
Mugil cephalus,Flathead grey mullet,Mugilidae,benthic,species,209,90,396,7.18,1.96,14.21,0.761,0.308,1.912,19.2,17.7,20.5,83.6,39.1,175.5,6.65,1.41,27.9,3.12,1.33,5.37
Mulloidichthys flavolineatus,Yellowstripe goatfish,Mullidae,benthic,species,44.4,25.4,83.3,0.491,0.271,0.807,0.159,0.111,0.28,19,17,21,39,22,62,86.8,31.4,288.5,1.03,0.55,1.45
Mulloidichthys mimicus,Mimic goatfish,Mullidae,benthic,genus,59.2,33,118,0.589,0.331,0.967,0.162,0.112,0.279,18.9,17.2,20.6,37.1,21.2,58.4,77.7,27.6,253.4,1.18,0.64,1.67
Mulloidichthys vanicolensis,Yellowfin goatfish,Mullidae,benthic,species,61.4,33.8,129.3,0.653,0.349,1.068,0.16,0.11,0.28,19.2,17.4,20.8,43.3,24.6,70.6,47.1,16.9,162,1.1,0.6,1.6
Muraenichthys schultzei,Maimed snake eel,Ophichthidae,pelagic,genus,111,62,200,0.755,0.48,1.202,0.145,0.068,0.378,19.6,17.3,22,40.8,21.2,80.8,52.5,14.1,174.3,1.42,1,2
Myrichthys colubrinus,Harlequin snake eel,Ophichthidae,benthic,genus,38.5,22.3,63.7,0.478,0.305,0.756,0.115,0.055,0.298,19.7,17.5,22,55.3,31.8,101.5,34.4,10.1,108.1,0.979,0.688,1.344
Myrichthys maculosus,Tiger snake eel,Ophichthidae,benthic,genus,37.9,21.9,63,0.476,0.303,0.752,0.114,0.055,0.296,19.7,17.5,22,55.8,32.2,102.7,33.6,9.9,105.3,0.971,0.684,1.335
Myripristis adusta,Shadowfin soldierfish,Holocentridae,pelagic,species,55.4,24,133,0.796,0.418,1.433,0.156,0.064,0.345,18.9,17.8,20.1,41.3,23.1,67.2,73.2,30.8,175.9,1.12,0.69,1.8
Myripristis berndti,Blotcheye soldierfish,Holocentridae,pelagic,species,62.8,27.8,154.2,0.801,0.41,1.454,0.168,0.069,0.372,19,18,20,39.2,21.9,65.2,89.5,38.1,216.7,1.12,0.69,1.81
Myripristis botche,Blacktip soldierfish,Holocentridae,pelagic,species,73.1,32.1,178.5,0.64,0.3,1.18,0.168,0.07,0.387,19.3,18.2,20.5,38.9,21,68.7,74.6,28.7,191.5,1.22,0.75,1.96
Myripristis hexagona,Doubletooth soldierfish,Holocentridae,pelagic,species,60,25,142,0.854,0.441,1.531,0.153,0.062,0.335,18.7,17.6,19.9,40.1,21.5,66.4,68.2,27.4,173.5,1.23,0.75,1.98
Myripristis kuntee,Shoulderbar soldierfish,Holocentridae,pelagic,species,69.4,30.3,172.6,0.889,0.454,1.585,0.164,0.065,0.361,18.9,17.7,20.1,39,21,64,78.1,32.2,191,1.22,0.75,1.97
Myripristis murdjan,Pinecone soldierfish,Holocentridae,benthic,species,42.8,18.8,101.3,0.575,0.289,1.025,0.136,0.059,0.307,19.2,18.1,20.3,46.4,29.3,75.6,40.8,17,97.4,1.09,0.68,1.71
Myripristis pralinia,Scarlet soldierfish,Holocentridae,pelagic,species,102,44,250,0.833,0.399,1.49,0.167,0.068,0.382,19.1,18,20.4,37.5,20.7,65.8,57.2,22.2,149.8,1.46,0.89,2.33
Myripristis vittata,Whitetip soldierfish,Holocentridae,pelagic,species,73.4,32.3,185.9,0.852,0.429,1.539,0.175,0.071,0.39,19,18,20,37.5,20.3,65.3,96.1,40.1,237.4,1.17,0.71,1.89
Naso annulatus,Whitemargin unicornfish,Acanthuridae,benthic,species,23.3,12.1,41.4,0.54,0.3,0.89,0.106,0.067,0.185,19.1,18,20.1,47.6,25.4,95.8,20,6,64,1.12,0.68,1.68
Naso brachycentron,Humpback unicornfish,Acanthuridae,benthic,species,21,11,36,0.417,0.227,0.708,0.117,0.075,0.199,19.1,18,20.1,40,22,75,49.1,15.7,140,1.05,0.63,1.57
Naso brevirostris,Spotted unicornfish,Acanthuridae,benthic,species,36.2,19.8,65.2,0.649,0.37,1.048,0.117,0.077,0.196,19.1,18.1,20.1,43.6,24.3,81.6,22.1,7.5,65,1.27,0.78,1.86
Naso elegans,Elegant unicornfish,Acanthuridae,benthic,species,34.8,18.1,62.5,0.571,0.342,0.986,0.107,0.066,0.178,18.5,17.4,19.7,32.5,16.2,68.2,26.3,6.6,101.2,1.23,0.71,1.95
Naso fageni,Horseface unicornfish,Acanthuridae,benthic,genus,24.8,12.7,44.5,0.534,0.299,0.902,0.108,0.068,0.189,18.9,17.8,20,43,22,88,25.8,7.6,86,1.2,0.7,1.8
Naso hexacanthus,Sleek unicornfish,Acanthuridae,pelagic,species,32.6,15.2,68.5,0.763,0.395,1.467,0.271,0.125,0.59,17.9,16.8,19,39.2,16.7,85.5,76.4,21.4,272.5,1.22,0.74,1.99
Naso thynnoides,Oneknife unicornfish,Acanthuridae,benthic,species,46.1,26.5,80.8,0.603,0.337,0.946,0.14,0.1,0.23,19.3,18.4,20.1,37.6,21.8,59.5,50.4,20.8,119.7,1.27,0.79,1.79
Naso tonganus,Bulbnose unicornfish,Acanthuridae,benthic,species,29.9,15.5,53.6,0.571,0.321,0.971,0.113,0.072,0.194,18.9,17.8,19.9,39.9,20.8,80,30.1,9,99.3,1.3,0.8,2
Naso tuberosus,Humpnose unicornfish,Acanthuridae,benthic,species,46.5,21.7,91.1,0.895,0.456,1.636,0.229,0.111,0.487,17.8,16.7,19,42.2,18.4,95.4,23.8,5.8,95.4,1.72,1.01,2.71
Naso unicornis,Bluespine unicornfish,Acanthuridae,benthic,species,33.4,17.8,57.7,0.624,0.353,1.046,0.104,0.064,0.174,18.9,17.8,20,41.5,19.7,85.3,13.4,3.6,47.8,1.07,0.63,1.68
Naso vlamingii,Bignose unicornfish,Acanthuridae,benthic,species,33,18,58,0.6,0.3,1,0.116,0.077,0.195,19,18,20,41.4,23.1,78.3,27.4,9.1,81.9,1.27,0.78,1.86
Naucrates ductor,Pilotfish,Carangidae,pelagic,species,44.4,20.1,102.6,1.86,0.85,3.52,0.226,0.12,0.44,20.8,19.6,22,29.9,13.1,70.4,9.51,2.17,41.56,0.702,0.416,1.266
Neamia octospina,Eightspine cardinalfish,Apogonidae,benthic,family,177,97,336,0.975,0.608,1.838,0.172,0.095,0.307,19,18,20,23.5,11.1,48.9,80.4,24.6,273.6,1.66,1.07,2.57
Nebrius ferrugineus,Tawny nurse shark,Ginglymostomatidae,pelagic,species,10.2,1.7,33.3,0.384,0.116,1.092,0.0899,null,null,19.2,17.1,21.3,46.9,12.7,130.2,34.3,12.6,91.5,0.538,0.252,1.261
Nectamia savayensis,Samoan cardinalfish,Apogonidae,benthic,species,129,76,227,0.888,0.576,1.52,0.156,0.094,0.257,19,18,20,24.7,12.9,48.3,67.4,21.4,212.6,1.56,1.03,2.33
Negaprion acutidens,Sicklefin lemon shark,Carcharhinidae,pelagic,species,7.88,1.16,31.58,0.447,0.139,1.364,0.198,0.071,0.539,20.2,17.6,22.6,39.7,8.2,128.3,53.9,14.6,203.4,0.596,0.268,1.264
Nemanthias carberryi,Threadfin anthias,Serranidae,pelagic,species,88.7,48.7,182.9,0.909,0.547,1.506,0.175,0.104,0.291,18.1,16.1,20,29.2,15.3,55.1,160,57,493,1.46,0.96,2.23
Nemateleotris magnifica,Fire goby,Gobiidae,pelagic,species,104,53,198,0.836,0.515,1.446,0.123,0.067,0.227,18.2,17.1,19.2,24.9,11.3,50.7,241,80,723,1.8,1.2,2.7
Nemipterus bipunctatus,Delagoa threadfin bream,Nemipteridae,pelagic,species,298,94,830,0.961,0.358,2.986,0.284,0.141,0.582,18.2,16.6,19.8,48.3,13.6,135.2,6.71,1.69,41.49,0.828,0.437,2.593
Nemipterus randalli,Randall's threadfin bream,Nemipteridae,benthic,genus,388,120,"1,097",1.15,0.44,3.58,0.286,0.141,0.604,18.3,16.7,19.8,50,14,144,4.72,1.22,29.1,0.894,0.465,2.793
Nemipterus zysron,Slender threadfin bream,Nemipteridae,benthic,species,306,95,848,1.04,0.4,3.19,0.267,0.133,0.548,18.1,16.5,19.7,49.4,14.9,140.8,4.94,1.27,29.62,0.878,0.466,2.724
Neoepinnula orientalis,Sackfish,Gempylidae,benthic,species,37,17,73,0.347,0.187,0.687,0.382,0.201,0.712,17.4,15.1,19.6,18,8,35,18.2,4.8,75.4,0.531,0.358,0.789
Neoglyphidodon melas,Bowtie damselfish,Pomacentridae,benthic,species,71,44,110,0.638,0.411,1.033,0.143,0.093,0.215,18.9,17.8,20,25.3,14.5,46.3,88.4,28.3,255.1,1.31,0.89,1.9
Neoniphon argenteus,Clearfin squirrelfish,Holocentridae,pelagic,species,91.7,38.9,231.3,0.721,0.337,1.357,0.174,0.072,0.41,19.3,18.2,20.6,38.1,19.8,70,71.8,26.8,192,1.3,0.8,2.1
Neoniphon aurolineatus,Yellowstriped squirrelfish,Holocentridae,pelagic,species,89.7,38.1,226.1,0.717,0.336,1.348,0.173,0.071,0.406,19.3,18.2,20.6,38.7,20.1,70.7,69.5,25.9,184.9,1.28,0.78,2.06
Neoniphon opercularis,Blackfin squirrelfish,Holocentridae,benthic,species,65.7,29,158.1,0.674,0.331,1.209,0.154,0.065,0.35,19.2,18.1,20.4,41.9,24.7,69.6,52.3,21.1,128.9,1.24,0.76,1.94
Neoniphon sammara,Sammara squirrelfish,Holocentridae,benthic,species,67.7,29.9,162.9,0.667,0.325,1.207,0.156,0.066,0.356,19.2,18,20.3,40.3,23.6,67,59,24,146,1.27,0.78,1.98
Neopomacentrus cyanomos,Regal demoiselle,Pomacentridae,pelagic,genus,94.9,51.5,188.7,1.05,0.67,1.66,0.166,0.098,0.278,18.6,17.6,19.6,26.2,12.9,49.4,140,50,398,1.72,1.17,2.49
Neopomacentrus taeniurus,Freshwater demoiselle,Pomacentridae,pelagic,species,380,177,708,1.75,1.06,3.26,0.64,0.29,1.46,17,16,18,43.4,19,110.6,64.8,22,206,1.87,1.24,2.86
Novaculichthys taeniourus,Rockmover wrasse,Labridae,benthic,species,53.1,32.6,94.7,0.619,0.373,1.029,0.142,0.093,0.206,18.7,15.9,21,34.9,20.8,54.5,89.1,31.4,272.3,1.5,1.1,2.6
Novaculoides macrolepidotus,Seagrass wrasse,Labridae,benthic,species,85.4,52.1,168.9,0.749,0.446,1.274,0.159,0.1,0.246,18.7,15.8,20.9,30.3,17.4,50.5,113,39,358,1.77,1.22,3.12
Odontanthias borbonius,Checked swallowtail,Serranidae,pelagic,species,182,98,373,1.48,0.8,2.61,0.312,0.152,0.598,17.2,15.1,19.1,32.3,14.7,67.6,42.3,11.7,164.1,1.33,0.8,2.2
Odonus niger,Red-toothed triggerfish,Balistidae,benthic,species,39.2,15.3,80.8,0.535,0.332,1.054,0.115,0.058,0.232,18.7,16.6,20.7,36.7,19.3,75,42.9,13.1,138.5,1.02,0.67,1.57
Oplopomus oplopomus,Spinecheek goby,Gobiidae,benthic,family,118,63,240,0.814,0.451,1.406,0.159,0.081,0.268,18.5,16.8,20.2,26.1,13.4,48.1,109,32,315,1.82,1.12,2.77
Oreochromis mossambicus,Mozambique tilapia,Cichlidae,benthic,species,28,12,103,1.6,0.6,4,0.442,0.201,1.034,17.1,15.6,18.7,60.6,28.2,124.2,8.46,1.55,37.45,2.08,0.88,7.21
Osphronemus goramy,Giant gourami,Osphronemidae,pelagic,species,43.5,12.7,244.6,0.493,0.197,1.78,0.351,0.167,0.746,17.6,15.5,19.6,61.4,27.5,151.9,18,4,79,1.37,0.81,2.17
Ostorhinchus angustatus,Broadstriped cardinalfish,Apogonidae,benthic,genus,129,74,229,0.909,0.589,1.571,0.154,0.093,0.254,19,18,20,26.1,13.6,51.8,56.3,17.7,180.1,1.52,1.01,2.27
Ostorhinchus apogonoides,Short-tooth cardinal,Apogonidae,benthic,species,169,96,365,0.911,0.573,1.532,0.124,0.072,0.217,18.9,17.9,19.9,32.2,16,63.2,79.1,27.2,220.7,1.85,1.25,2.72
Ostorhinchus aureus,Ring-tailed cardinalfish,Apogonidae,benthic,species,105,62,179,0.8,0.5,1.4,0.152,0.095,0.242,19.1,18,20.2,27.2,14.7,52.3,59.9,19.4,183.6,1.37,0.92,2.02
Ostorhinchus cyanosoma,Yellowstriped cardinalfish,Apogonidae,pelagic,species,201,110,524,1.19,0.73,2.01,0.191,0.11,0.331,19.5,18.4,20.6,30.9,15.2,62.6,65.8,21.2,207.7,1.83,1.21,2.73
Ostorhinchus endekataenia,Candystripe cardinalfish,Apogonidae,benthic,species,130,77,267,0.815,0.518,1.305,0.118,0.071,0.196,18.9,17.9,19.9,34.4,17.7,64.9,73,26,193,1.69,1.17,2.43
Ostorhinchus fasciatus,Broadbanded cardinalfish,Apogonidae,benthic,species,118,69,208,0.83,0.53,1.46,0.158,0.095,0.258,19.1,18.1,20.2,26.6,13.9,52.5,64.1,20.7,203.7,1.41,0.94,2.1
Ostorhinchus fleurieu,Flower cardinalfish,Apogonidae,benthic,genus,149,70,269,1.03,0.59,2.1,0.309,0.143,0.691,17.9,16.6,19.1,24.5,8.8,62.8,88.2,21.8,327.3,1.87,1.17,3
Ostorhinchus holotaenia,Copperstriped cardinalfish,Apogonidae,benthic,genus,165,91,311,0.96,0.6,1.79,0.168,0.095,0.296,19.1,17.9,20.2,24.4,11.8,50.7,71.9,22.2,240.7,1.6,1,2.5
Ostorhinchus taeniophorus,Reef-flat cardinalfish,Apogonidae,benthic,genus,123,72,217,0.845,0.546,1.485,0.159,0.095,0.261,19.1,18,20.2,25.9,13.4,50.9,67.4,21.6,212.8,1.45,0.97,2.17
Ostracion cubicum,Yellow boxfish,Ostraciidae,benthic,species,46.8,18.5,97.5,0.581,0.362,1.157,0.118,0.061,0.217,18.8,16.5,21,36.6,19.5,77.7,40.6,12.6,128.2,1.02,0.67,1.55
Ostracion meleagris,Whitespotted boxfish,Ostraciidae,benthic,species,59.8,22.6,123.8,0.678,0.427,1.314,0.118,0.057,0.218,18.3,16,20.6,31.5,16.1,64.5,46.9,13.7,155.4,1.32,0.85,2.05
Otolithes ruber,Tigertooth croaker,Sciaenidae,benthic,species,116,60,199,0.91,0.53,1.62,0.396,0.178,0.852,17.9,16.8,19.2,80.8,38.1,162.5,15.1,5.1,42.3,1.32,0.86,2.04
Oxycheilinus arenatus,Speckled maori wrasse,Labridae,benthic,species,67.4,24.9,189.1,0.771,0.334,2.06,0.168,0.081,0.334,18.9,16,21.1,33.5,11.8,97.2,132,44,420,2.16,0.91,3.97
